"sgrT.1e-04"	"sgrS.1e-04"	"sgrT.0.001"	"sgrS.0.001"	"sgrT.0.01"	"sgrS.0.01"	"sgrT.0.05"	"sgrS.0.05"	"sgrT.0.1"	"sgrS.0.1"	"sgrT.0.15"	"sgrS.0.15"	"sgrT.0.2"	"sgrS.0.2"	"sgrT.0.25"	"sgrS.0.25"	"sgrT.0.3"	"sgrS.0.3"	"sgrT.0.35"	"sgrS.0.35"	"sgrT.0.4"	"sgrS.0.4"	"sgrT.0.45"	"sgrS.0.45"	"sgrT.0.5"	"sgrS.0.5"
"sample1"	1	1	1	1	-0.56	0.2	-0.7	0.04	0.16	0.09	-0.15	0	0.47	0.16	0.3	0.25	-0.16	0.15	1	0.31	0.43	0.01	-0.01	0.31	0	0.11
"sample2"	1	1	1	1	-0.18	0.04	0.37	0.02	0.06	0.21	0.61	-0.13	-0.34	-0.04	-0.48	-0.08	0.87	0	0	-0.08	-0.87	0.19	0	0.02	0.42	0.08
"sample3"	1	1	1	1	1	0.09	0.48	0.33	-0.2	0.03	0	-0.04	-0.51	-0.03	0.38	0.08	1	-0.31	1	-0.02	-0.17	0.12	0.45	0.13	0.4	0.07
"sample4"	1	1	1	1	-0.21	0.62	-0.7	-0.08	0.46	0.07	-0.26	-0.07	-0.21	0.03	0.06	0.04	-0.6	0.08	0.16	0.09	0.37	-0.05	0.29	-0.12	0.28	-0.15
"sample5"	1	1	1	1	1	0.68	-0.64	-0.19	-0.47	0.08	0.13	-0.07	0.54	0.2	-0.52	0.1	-0.33	0.16	0.87	-0.11	0.04	0.16	1	0.16	0.22	0.06
"sample6"	1	1	1	1	1	0.01	-0.32	0.08	1	0.21	1	-0.13	-0.3	0.26	-1	0.09	-0.53	0.08	-0.22	0.02	-0.49	-0.07	-0.09	0.19	-0.01	0.11
"sample7"	1	1	1	0.75	-0.18	0.79	0.07	0.19	-0.21	0.25	-0.06	0.03	0.39	-0.2	-0.01	0.1	-0.08	0.03	-0.48	0.24	-0.56	-0.01	-0.28	-0.08	-0.07	0.33
"sample8"	1	1	1	1	-0.33	0.47	0.17	0.13	-0.43	0.02	0.12	-0.07	-0.29	0.11	-0.43	-0.1	-0.67	-0.06	0.17	-0.17	-0.48	-0.23	-0.43	0.21	0.41	-0.13
"sample9"	1	1	0.37	1	0.47	0.78	-0.77	0.33	0	-0.03	0.19	0.04	0.59	-0.07	0.03	0.12	-0.37	-0.14	-0.17	0.18	-0.03	-0.21	-0.23	0.04	0.12	0.04
"sample10"	1	1	1	0.77	-0.15	0.1	-0.3	0.08	0.09	0.07	-0.25	0.05	0.06	-0.06	-0.08	-0.1	-0.41	-0.03	0	-0.02	0	0.02	0.63	0.08	0.32	-0.21
"sample11"	1	1	1	1	1	-0.11	-0.59	-0.03	-0.5	0.12	0.22	0.06	-0.47	0.32	-0.36	-0.08	-0.15	0.08	-0.63	0.2	-0.31	-0.05	-0.12	0.03	0.49	0.21
"sample12"	1	1	1	1	1	0.27	-0.06	0.11	0.5	0	-0.23	0.2	0.19	0.16	0.5	-0.02	-0.49	-0.22	-0.24	0.17	0	-0.09	-0.4	-0.12	0.13	-0.05
"sample13"	1	1	1	1	1	0.07	-0.7	-0.01	-0.33	0.06	0.1	-0.02	-0.13	0.19	0.31	0	0.22	0.21	-0.07	-0.16	0.28	-0.08	-0.62	0.21	1	-0.14
"sample14"	1	1	1	1	-0.53	-0.14	-0.03	-0.11	-0.28	0.22	0.05	-0.07	0.39	0	-0.18	0.01	-0.22	0.04	1	0.05	-0.22	-0.04	0	-0.13	0.18	-0.13
"sample15"	1	1	1	1	0.97	0.86	0.04	0.03	-0.65	0.11	0.73	0.09	0.16	0.15	-0.82	0.15	-0.8	-0.07	-0.06	0.06	0	0.01	0.5	-0.11	0.05	0.08
"sample16"	1	1	1	1	1	0.21	-0.7	0.56	-0.17	0.06	-0.14	-0.08	0.04	0.09	0.02	0.01	-0.67	0.14	-0.23	0.23	-0.95	0.11	-0.87	-0.01	-0.26	-0.01
"sample17"	1	1	1	1	0.16	-0.02	-0.57	-0.34	-0.32	0.08	0.51	0.19	0.08	0.14	0.04	0.24	0.28	-0.13	-0.21	0.03	-0.05	0.04	-0.61	0.17	0.22	0.03
"sample18"	1	1	1	1	1	0.8	0.01	0.3	-0.7	0.11	1	-0.04	0.22	0.02	-0.25	-0.12	1	0.05	-0.64	-0.11	-0.68	-0.02	-0.36	-0.2	-0.3	-0.02
"sample19"	1	1	1	1	1	0.61	-0.38	0.02	-0.59	0	-0.49	0	0.25	0.09	0	0.01	-0.57	0.02	-0.63	0.13	-0.45	-0.07	-0.23	0.06	0.29	0.08
"sample20"	1	1	1	1	-0.49	1	-0.44	0.16	0.13	0.01	0.2	-0.11	0	0.03	-0.51	-0.1	-0.55	0.15	-0.05	0.01	0.26	0.12	-0.02	-0.08	0.09	-0.11
"sample21"	1	1	1	1	-0.16	0.3	0.16	0.08	0.11	0.13	-0.16	0	0.26	0	0.5	0.43	0.38	-0.15	-0.2	-0.06	0.46	-0.11	-0.7	-0.03	-0.87	-0.07
"sample22"	1	1	1	0.62	0.27	1	-0.06	0.11	-0.7	-0.04	0.15	0.05	0.41	0.05	-0.11	-0.13	0	0.07	-0.24	-0.03	-0.07	0.12	-0.95	0.1	0.53	0.18
"sample23"	1	1	1	1	0.04	0.52	0.11	0.2	-0.24	-0.1	-0.53	0.11	0.15	0.01	0.3	-0.09	-0.65	0.15	-0.22	-0.07	-0.09	-0.03	0.24	-0.04	0.31	-0.02
