"sgrT.1e-04"	"sgrS.1e-04"	"sgrT.0.001"	"sgrS.0.001"	"sgrT.0.01"	"sgrS.0.01"	"sgrT.0.05"	"sgrS.0.05"	"sgrT.0.1"	"sgrS.0.1"	"sgrT.0.15"	"sgrS.0.15"	"sgrT.0.2"	"sgrS.0.2"	"sgrT.0.25"	"sgrS.0.25"	"sgrT.0.3"	"sgrS.0.3"	"sgrT.0.35"	"sgrS.0.35"	"sgrT.0.4"	"sgrS.0.4"	"sgrT.0.45"	"sgrS.0.45"	"sgrT.0.5"	"sgrS.0.5"
"sample24"	1	1	1	1	-0.31	0.86	0.76	-0.03	-0.38	0.14	-0.28	-0.09	0.11	0.01	0.02	0.07	-0.47	0.08	0.61	-0.11	-0.38	0.1	-0.21	-0.19	0.13	-0.06
"sample25"	1	1	1	1	1	0.33	-0.37	0.33	0.06	-0.11	0.27	0.01	-0.49	0.12	1	-0.07	0	0.12	-0.63	-0.08	-0.52	0.12	-0.5	0.12	0.23	0.32
"sample26"	1	1	1	1	-0.29	0.16	0.51	0.25	0.07	0.3	-0.35	0.07	-0.12	0.17	1	-0.17	0.16	-0.02	-0.26	-0.15	-0.08	-0.09	-0.18	0.1	0.84	0.2
"sample27"	1	1	1	1	1	1	-0.41	-0.22	0.14	0.21	0.05	0.02	-0.02	-0.27	1	0.08	0.4	0.26	-0.49	-0.03	-0.52	-0.12	0.01	0.21	1	-0.23
"sample28"	1	1	1	1	0.71	0.69	0.01	0.42	-0.58	0.32	1	0.09	0.37	0	0.18	0.12	-0.43	0	0.24	-0.02	-0.59	0.02	-0.49	-0.05	0.83	-0.01
"sample29"	1	1	1	1	-0.26	0.51	-0.27	0.14	-0.12	-0.07	1	0.12	-0.07	-0.13	1	-0.09	-0.15	0.03	-0.47	0.1	-0.41	0.07	0.16	0.16	-0.38	0.05
"sample30"	1	1	0.07	1	0.83	0.53	0.23	0.21	-0.24	0	-0.06	0.12	0.32	0.12	-0.5	-0.06	-0.18	-0.2	-0.35	-0.05	0.42	0.08	-0.15	0.07	0.23	0.06
"sample31"	1	1	1	0.71	0.96	0.77	-0.1	0.19	-0.24	0.22	0.46	-0.05	-0.03	-0.04	0.26	-0.04	-0.39	0.37	-0.19	0.04	0.01	0.11	-1	0.09	0	0.06
"sample32"	1	1	1	1	1	0.23	1	-0.03	0.02	-0.14	-0.37	0.2	1	-0.08	-0.05	0.01	0.32	-0.23	-0.51	0	-0.55	-0.07	0	-0.06	0.43	0.13
"sample33"	1	1	1	1	1	0.43	-0.39	0.1	-0.38	-0.08	0.41	-0.08	0	0.19	0.39	0.15	-0.06	0.26	0.16	-0.26	0.19	-0.02	-0.56	-0.15	0.89	-0.03
"sample34"	1	1	1	0.2	-0.64	0.79	-0.29	-0.16	0.1	0.16	0.27	-0.07	-0.59	-0.01	0.06	0.04	-0.04	-0.12	0.33	0.03	-0.59	-0.19	-0.64	-0.08	0.06	-0.02
"sample35"	1	1	1	1	-0.31	0.71	-0.07	0.22	0.31	0.22	-0.43	0.24	0	-0.02	0.08	-0.03	0.5	0.16	0.1	0.26	-0.79	0.14	-0.22	0.1	0.89	0.04
"sample36"	1	1	1	1	1	1	-0.05	0.11	-0.52	0.21	0.13	0.04	1	-0.2	-0.17	0.12	-0.29	-0.01	1	-0.15	-0.64	0.22	-0.11	-0.04	0.73	-0.17
"sample37"	1	1	1	1	-0.15	0.18	0.41	0.22	1	0.15	0.21	0.12	-0.44	0.03	-0.6	-0.1	0.09	0.03	0.06	0.18	0.26	-0.12	-0.49	-0.07	-1	-0.02
"sample38"	-0.25	1	1	1	1	0.22	-0.25	-0.14	-0.7	0.05	-0.24	-0.17	-0.52	-0.19	0	-0.13	-0.53	0.31	-0.48	0.2	-0.56	0.05	0.03	0.1	-0.5	-0.11
"sample39"	1	1	1	1	1	0.08	-0.26	0.08	-0.37	0.24	-0.06	0.31	0.51	-0.04	-0.03	-0.11	1	-0.23	-0.14	-0.03	-0.43	0.06	-0.58	0.18	0.79	-0.09
"sample40"	1	1	1	1	1	0.99	-0.36	0.11	-0.27	0.34	-0.39	-0.03	-0.48	-0.11	-0.17	0.17	-0.42	0.11	-0.4	-0.18	1	-0.02	0	-0.04	-0.15	-0.07
"sample41"	1	1	1	1	1	-0.12	0.04	0.1	-0.44	-0.16	1	-0.06	-0.34	-0.02	0.06	-0.07	0.42	-0.03	-0.55	0.12	-0.08	0.02	-0.87	-0.11	-0.08	-0.13
"sample42"	1	1	1	1	0	0.23	-0.52	0.01	-0.07	0.06	1	0.14	0.17	-0.15	-0.17	0.01	0	0.15	-0.12	0.25	0	0.01	-0.43	0.01	0.63	0.02
"sample43"	1	1	1	1	1	-0.05	-0.37	0.22	-0.05	0.29	-0.23	-0.24	-0.07	0.08	0.01	-0.05	-0.32	0.16	-0.46	0.23	-0.58	-0.25	-0.02	-0.02	-0.1	0.13
"sample44"	1	1	1	1	1	0.96	-0.56	0.07	0.25	0.01	-0.02	-0.12	1	-0.01	0	0.18	-0.17	-0.02	0.5	0.19	-0.36	-0.06	-0.11	0.01	-0.15	0.22
"sample45"	1	1	1	1	-0.35	0.6	0.03	0.18	-0.29	0.07	-0.02	0.03	-0.49	-0.18	-0.27	0.08	-0.32	-0.03	-1	0.16	-0.25	0.12	0.09	-0.17	0.87	-0.15
"sample46"	1	1	1	0.86	-0.33	0.78	0.58	0.21	-0.61	0.09	-0.2	-0.03	-0.54	0.02	1	0.18	-0.38	0	-0.02	0.35	-0.7	0.02	-0.4	0.16	0.42	0.09
"sample47"	1	1	1	1	1	1	-0.07	0.4	-0.19	0.02	-0.13	-0.03	0.37	0.11	-0.51	-0.1	0.14	0.01	1	-0.07	-0.56	0.35	-0.48	-0.08	-0.13	0.1
"sample48"	1	1	1	1	-0.47	0.55	-0.73	0.12	0.55	0.29	-0.29	-0.14	-0.55	0.06	0.55	0.07	-0.32	0.1	-0.21	0.15	0.41	-0.13	0.09	-0.01	0.2	-0.09
"sample49"	1	1	1	1	0.48	0.39	-0.15	0.07	-0.11	0.05	0	-0.09	0.33	0.1	-0.2	-0.14	0.12	-0.16	0	0.07	-0.37	-0.03	-0.62	0.16	0.63	0.11
"sample50"	1	1	1	1	1	0.39	-0.02	0.25	0.11	-0.05	-0.02	0.02	-0.31	-0.07	-0.28	0.17	-0.14	0.1	-0.6	0.02	-0.02	0.01	0.07	0.19	0.28	-0.06
"sample51"	1	1	1	1	1	0.45	0.69	0.08	1	0.01	-0.16	-0.1	-0.4	-0.04	-0.37	-0.27	-0.19	-0.06	0	0.1	0.04	0.1	0	-0.24	0.6	0.06
"sample52"	1	1	1	1	0.84	0.22	0.07	0.08	-0.28	0	-0.26	-0.02	0.13	-0.14	0.23	-0.14	0.15	-0.01	-0.34	0.14	-0.67	-0.02	-0.52	0.04	0.76	0.14
"sample53"	1	1	1	0.17	1	0.67	0.34	-0.21	-0.1	0.19	0.02	0.04	0.12	0.01	-0.61	-0.02	-0.38	0.02	-0.02	-0.12	-0.09	0.2	-0.37	0.08	0.71	-0.02
"sample54"	1	1	1	1	-0.17	0.66	-0.09	0.29	-0.41	0.15	-0.31	0.11	1	-0.02	0.29	0.05	-1	0.01	0	0.14	-0.79	0.05	0.29	-0.12	1	-0.1
"sample55"	1	1	1	1	-0.04	0.27	-0.2	-0.03	-0.26	-0.03	0	-0.19	-0.19	0.12	-0.41	-0.15	-0.47	0.02	-0.16	0.28	0.04	0.14	-0.24	-0.08	0.13	-0.06
"sample56"	1	1	1	1	1	0.2	0.02	0.33	-0.31	-0.07	0.25	-0.04	0.19	0.04	-0.66	0.05	-0.13	-0.1	-0.39	0.14	0.27	-0.04	-0.39	0.08	0.08	0.01
"sample57"	1	1	1	0.44	0.24	0.74	-0.21	0.09	-0.48	-0.21	-0.03	0.09	0.14	0.05	0.08	0.06	-0.29	0.04	0.4	-0.16	-0.04	-0.1	0.27	-0.16	0.36	0.24
"sample58"	1	1	1	1	-0.22	0.75	0.43	0.31	-0.29	0.08	-0.45	0.09	0.19	-0.03	-0.46	0.01	-0.1	-0.06	0.04	-0.07	0.48	0.13	0.32	0.11	-0.21	0.18
"sample59"	1	1	-0.48	1	0.49	0.75	0.12	-0.04	1	0.28	-0.69	0.03	-0.31	0.02	-0.16	0	0.8	0.05	-0.18	0.02	-0.03	0.2	-0.17	-0.25	0.08	-0.02
"sample60"	1	1	1	0.5	1	0.68	-0.09	0.09	-0.41	0.17	-0.77	0.04	0.07	-0.06	-0.37	0.19	-0.49	-0.12	0.58	0.08	-0.25	0.26	0.39	-0.18	0.07	0.35
"sample61"	1	1	1	1	0.1	0.49	-0.12	0.26	0.14	0.07	-0.2	0.21	0.13	-0.11	0.03	-0.17	-0.06	-0.14	-0.43	-0.05	-0.18	-0.05	-0.51	0.16	0.76	-0.19
"sample62"	1	1	1	1	-0.04	1	-0.51	0.51	-0.09	0.09	0.13	-0.16	-0.58	-0.03	-0.07	0.02	0.24	0	0	0.16	0.03	0.03	-1	0.03	-0.06	0.01
"sample63"	1	1	1	1	-0.36	0.25	-0.45	0.05	0.09	0.17	0.5	0.11	-0.14	0.18	0.26	-0.06	0	-0.02	-0.47	0.14	-0.61	-0.21	0.48	0.07	0.76	0.22
"sample64"	1	1	1	0.67	0.36	0.65	0.28	-0.03	-0.39	0.24	-0.69	-0.03	-0.19	0.19	-0.41	-0.07	-0.29	-0.14	0.19	-0.02	0.08	-0.04	-0.58	0.08	0.67	0.03
"sample65"	1	1	1	1	1	0.05	-0.12	0.02	0.27	-0.27	-0.36	-0.06	-0.24	-0.15	-0.46	0.09	0	0.15	-0.3	0	0.87	-0.08	0.06	0.01	0.32	0.04
"sample66"	1	1	1	0.7	-0.17	-0.02	-0.1	0.35	0.33	0	-0.32	-0.09	-0.56	-0.06	0.46	0	-0.61	0.06	-0.14	0.29	-0.48	0.14	-0.87	0.04	0.06	-0.03
"sample67"	1	1	1	1	1	0.07	-0.22	0.08	-0.7	0.11	0.37	-0.12	-0.37	-0.09	-0.08	-0.11	0.28	-0.05	-0.56	-0.04	-0.44	0.04	0.44	0	0.87	0.1
"sample68"	1	1	1	1	0.95	0.06	0.06	0.14	-0.41	0.04	-0.47	0.12	-0.09	0.13	1	0.16	-1	-0.17	-0.39	-0.07	-0.64	-0.03	0.28	0.1	1	0.09
"sample69"	1	1	1	0.66	0.25	0.15	0.71	-0.14	-0.76	-0.07	-0.61	0.12	-0.41	-0.21	0	0.06	0.1	-0.17	-0.06	-0.02	-0.16	-0.11	-0.11	0.03	0.33	-0.14
"sample70"	1	1	1	1	-0.02	0.89	-0.52	0.35	-0.2	0.07	0.06	0.09	-0.77	0.19	-0.03	0.2	0.09	0.16	-0.64	0.12	-0.32	0.31	-0.31	0.07	-0.17	-0.11
"sample71"	1	1	1	1	-0.46	0.89	0.68	0.09	0.02	0.1	0.29	0.13	0	-0.08	-0.28	0	0.83	0.08	0.5	0.01	-0.09	0.14	-0.45	0.12	0.28	0.19
"sample72"	1	1	1	1	0.21	0.78	0.48	0.02	0.24	0.28	0.01	0.08	0.12	0.08	-0.2	0.03	-0.13	0.17	-0.41	-0.01	0	-0.08	-0.66	-0.14	0.32	0.28
"sample73"	1	1	1	1	1	-0.02	0.11	0.1	0.29	0.11	0.48	0.07	0.11	0.23	0.23	-0.27	-0.3	0.22	0	0.15	0.16	-0.05	0.38	0.18	0.06	-0.01
"sample74"	1	1	1	0.13	-0.21	0.11	-0.04	0.17	0.56	0.02	0.1	0.25	0.18	0.01	0.1	-0.09	-0.55	0.07	0.11	-0.29	-0.43	-0.12	0	-0.09	0.18	-0.15
"sample75"	1	1	1	1	-0.27	0.18	-0.02	0.31	-0.34	0.1	1	-0.06	-0.6	0.02	-0.31	0.03	0.26	0.01	0.2	-0.09	-0.42	0	0.38	0.21	1	0.16
"sample76"	1	1	1	0.65	1	0.08	0.64	0.36	0.16	-0.11	0	0.03	-0.1	-0.12	-0.55	-0.1	-0.1	-0.08	0	0.13	-0.2	-0.04	-0.13	-0.13	0.16	0.05
"sample77"	1	1	1	1	1	0.17	0.47	0.17	0.38	-0.09	-0.14	-0.04	-0.36	0	-0.09	0.02	0	0.01	-0.7	-0.07	-0.01	0.01	0.13	-0.08	-0.37	-0.09
"sample78"	1	1	1	0.8	-0.49	0.53	-0.21	0.15	-0.14	-0.01	0.58	-0.07	-0.58	0.07	-0.07	0.17	0	-0.03	-0.71	0.27	-0.63	0	-0.87	0.03	0.48	-0.1
"sample79"	1	1	1	1	1	0.16	0.16	-0.21	0.11	0.05	-0.19	0.23	0.07	-0.2	-0.4	-0.06	-0.51	-0.11	-0.28	0.27	0.64	0.16	0	-0.18	0.74	-0.17
"sample80"	1	1	1	1	0.76	0.55	-0.04	0.05	0.44	0.14	-0.1	-0.04	0.5	0.19	-0.44	0	-0.24	0.05	-0.01	0.01	1	0.25	-0.38	0	0.47	0.04
"sample81"	1	1	1	1	0.6	0.7	-0.39	0.49	0.22	-0.17	0	0.07	0.04	0.02	-0.13	0.09	0.36	0.02	-0.44	0.07	-0.26	-0.01	1	0.08	0.08	-0.17
"sample82"	1	1	1	1	-0.41	0.39	-0.18	-0.03	-0.04	0.29	0.07	0.03	-0.5	-0.11	-0.6	-0.16	-0.24	0.3	-0.47	0.03	-0.12	0.15	0.71	-0.1	0.22	-0.14
"sample83"	1	1	1	1	0.43	1	-0.64	-0.19	0.09	-0.12	0.29	0.04	1	0.1	-0.46	-0.15	1	-0.06	-1	0.21	-0.17	0.05	-0.48	-0.06	0.4	0
"sample84"	1	1	1	1	1	0.72	0.13	0.26	-0.26	0	-0.03	0.07	0.5	-0.22	1	-0.06	0.02	0	0.02	-0.28	0.3	0.13	-0.48	0.28	-0.11	-0.02
"sample85"	1	1	1	1	-0.07	0.41	-0.5	0.24	-0.15	0.11	-0.46	-0.19	0.52	-0.15	0.01	-0.16	-0.54	0.08	0.12	0.09	-0.73	-0.09	1	0.02	0.05	-0.01
"sample86"	1	1	1	1	1	0.77	0.15	0.1	1	0.2	-0.22	0.1	-0.7	-0.12	-0.47	-0.11	-0.55	0.14	-0.35	0.26	-0.39	0.04	-0.26	-0.03	0.48	-0.08
"sample87"	1	1	1	1	-0.32	0.48	0.47	0.19	0.17	0.19	-0.04	0.02	0.61	0.27	-0.06	0.07	-0.26	0.27	-0.22	0.17	-0.13	0.25	-0.37	0.19	0.58	-0.12
"sample88"	1	1	1	1	0.49	-0.05	-0.48	0	-0.28	-0.04	-0.1	-0.25	0.06	0.15	-0.67	0	-0.06	0.07	-0.22	-0.02	0.13	0.04	-0.59	-0.1	0.81	-0.14
"sample89"	1	1	1	1	0.6	-0.1	-0.34	0.14	-0.16	-0.05	-0.31	-0.01	-0.06	-0.02	-0.14	0.1	0.31	0.12	0	0.11	-0.09	-0.19	-0.29	0.12	0.04	0.04
"sample90"	1	1	1	1	-0.45	-0.04	-0.06	0.15	-0.13	0	-0.51	0.04	1	0.12	0.12	0.06	-0.35	-0.1	-0.45	-0.37	-0.62	0.03	-0.31	-0.07	1	-0.02
"sample91"	1	1	1	0.27	-0.27	1	0.37	0.07	0.13	0.1	-0.25	0.55	0.18	-0.06	0.17	0.05	-0.51	0.18	-0.37	-0.04	-0.21	-0.16	0.15	-0.17	0.08	-0.03
"sample92"	1	1	1	1	1	-0.01	-0.34	0.11	-0.13	-0.3	0	0.22	0.15	0.04	0.23	0.02	-0.17	-0.21	-0.15	-0.13	-0.62	0.02	-0.58	0.07	0.13	0.15
"sample93"	1	1	1	1	0.09	0.62	-0.63	0.02	-0.75	-0.13	-0.24	0.03	0.05	0.08	1	-0.16	0.16	0.17	-0.47	0.24	0.02	-0.04	-0.17	0.16	0.29	-0.18
"sample94"	1	1	0.93	1	0.84	1	0.47	0.14	-0.51	0.14	-0.06	-0.04	-0.14	0.07	0.53	0.01	0	0.05	0.27	0.01	0.13	-0.16	-0.17	0.14	0.86	-0.03
"sample95"	1	1	0.86	0.71	-0.15	1	-0.17	0.49	-0.52	0.17	-0.02	0.1	-0.29	0.06	1	0.29	-0.71	0.04	0.05	0.09	0.18	0.05	0.2	0.16	0.68	-0.03
"sample96"	1	1	1	1	1	0.17	-0.19	0.53	-0.8	0.07	0.37	0.23	0.04	-0.08	-0.18	-0.03	-0.77	-0.02	-0.14	0.08	-0.35	-0.01	1	0.1	0.23	0.1
"sample97"	1	1	1	1	1	0.03	0.32	0.38	-0.44	0.09	0.6	-0.09	-0.51	0.01	-0.23	0.03	0	-0.19	0.06	0.12	1	0.11	0.06	0.02	0.02	-0.08
"sample98"	1	1	-0.14	1	0.25	0.04	-0.56	-0.19	0.05	0.11	-0.46	0.24	-0.26	-0.03	-0.01	0.16	-0.03	-0.03	-0.05	0	0.11	0.03	0	-0.04	-0.17	-0.05
"sample99"	1	1	1	1	0.66	0.27	-0.09	0.09	0.5	-0.05	0	-0.15	-0.14	-0.09	0.18	-0.08	0.3	-0.13	-0.3	-0.1	0.23	-0.06	-0.26	0.1	0.52	0.06
"sample100"	1	1	1	1	1	0.46	-0.25	0.28	-0.4	0.18	-0.06	0.16	-0.47	-0.16	0.39	-0.09	-0.04	0.09	-0.52	0.26	-0.03	0.26	-0.16	0.05	0.44	0.2
