Library	SampleNo	NoMutations	Plate1	Plate2	Plate3
BrocLibA	2	0	50567.63285	46954.21687	48846.93878
BrocLibA	3	0	52891.68766	50678.57143	51176.32242
BrocLibA	8	0	20164.87455	19678.08219	20899.25373
BrocLibA	9	0	48574.92355	46277.77778	49941.01124
BrocLibA	13	0	46297.08223	46926.31579	50319.41032
BrocLibA	14	0	41054.64481	40778.94737	46730.31026
BrocLibA	15	0	45784.61538	40931.29771	46919.43128
BrocLibB	13	0	42072.94833	39927.97784	46611.11111
BrocLibD	3	0	82412.69841	63195	60738.42593
BrocLibD	4	0	43093.67089	38725.24752	40206.54912
BrocLibD	9	0	74007.26392	53327.41117	50009.36768
BrocLibD	11	0	36836.18582	36280.21978	35075.75758
BrocLibD	12	0	68564.70588	58376.0218	46396.3964
BrocLibE	8	0	49301.07527	46799.51691	55340
BrocLibE	10	0	42755.70033	47491.74917	47153.84615
BrocLibE	14	0	42366.49215	39100.25063	53221.64948
BrocLibA	6	1	49373.43358	42982.71605	53583.1202
BrocLibB	1	1	52705.26316	50004.96278	48880.68182
BrocLibB	3	1	43251.39665	43351.95531	46235.77236
BrocLibB	6	1	40866.27907	39473.95833	48402.746
BrocLibB	9	1	48850.94851	52129.67581	47326.64756
BrocLibB	11	1	37218.51852	50747.60383	57074.07407
BrocLibB	12	1	23622.80702	23641.66667	25720.51282
BrocLibB	16	1	29174.44717	29447.36842	31126.23762
BrocLibD	1	1	34369.71047	31322.83465	29619.95249
BrocLibD	2	1	78855.6962	64369.79167	56344.08602
BrocLibD	6	1	50206.30372	43748.18402	46222.95082
BrocLibD	7	1	72569.01408	66510.29748	62893.51852
BrocLibD	13	1	66132.74336	54426.76768	37378.7234
BrocLibE	1	1	44967.47967	57948.52941	55235.80786
BrocLibE	2	1	27268.8172	36923.76682	37982.6087
BrocLibE	3	1	29756.92308	30376.58228	32910.91954
BrocLibE	4	1	30349.71098	28845.2381	32716.88312
BrocLibE	5	1	38658.4507	38929.75207	42551.72414
BrocLibE	12	1	39035.42234	36768.76877	42388.57143
BrocLibA	1	2	32856.30499	32538.74539	36151.04167
BrocLibA	11	2	44148.45938	41077.15134	44281.32992
BrocLibB	7	2	25118.73351	24193.87755	28983.45154
BrocLibB	10	2	33857.14286	33771.42857	36249.26686
BrocLibD	5	2	57071.85629	52916.18497	48905.10949
BrocLibD	14	2	67637.99283	54168.93733	46150.9434
BrocLibE	6	2	26508.72093	24805.26316	30740.09901
BrocLibA	5	3	52805.48628	48424.69136	51748.18402
BrocLibD	8	3	46616.76647	42238.93805	46996.95122
BrocLibA	10	4	16315.18625	14603.39943	13449.46809
BrocLibB	15	4	24000	26548.78049	35480
BrocLibB	17	4	26800.97087	27933.33333	36138.07531
