Library	SampleNo	NoMutations	Plate1	Plate2
mChLibH	13	0	6445	4082
mChLibM	4	0	5899	7008
mChLibM	5	0	4154	5341
mChLibM	14	0	2168	2174
mChLibM	16	0	4902	7369
mChLibM	19	0	4373	2995
mChLibH	17	1	364	447
mChLibM	1	1	3440	3542
mChLibM	6	1	5250	7972
mChLibM	8	1	4702	6212
mChLibM	9	1	1467	1398
mChLibM	10	1	1369	1405
mChLibM	12	1	5203	4697
mChLibM	17	1	1231	1119
mChLibH	5	2	2632	797
mChLibH	11	2	724	612
mChLibM	7	2	2925	6169
mChLibH	4	3	4495	7087
mChLibH	10	3	448	462
mChLibH	19	3	681	713
mChLibH	1	4	467	447
mChLibH	3	4	579	702
mChLibH	18	4	620	659
mChLibH	9	6	447	511

