RNA	protein	phylogroup	type
U6	PRP3	deep	Spliceosome
U6	DUF1115	deep	Spliceosome
U6	Nop	deep	Spliceosome
U6	Prp31_C	deep	Spliceosome
U6	WD40	deep	Spliceosome
Fungi_U3	NOP5NT	deep	RNP
Fungi_U3	Ribosomal_S4	deep	RNP
Fungi_U3	S4	deep	RNP
Fungi_U3	Brix	deep	RNP
Asn-tRNA	tRNA_anti-codon	deep	tRNA+synthetase
Asn-tRNA	tRNA-synt_2	deep	tRNA+synthetase
Cys-tRNA	tRNA-synt_1e	deep	tRNA+synthetase
Gln-tRNA	tRNA-synt_1c	deep	tRNA+synthetase
His-tRNA	tRNA-synt_His	deep	tRNA+synthetase
Met-tRNA	tRNA-synt_1g	deep	tRNA+synthetase
Phe-tRNA	tRNA-synt_2d	deep	tRNA+synthetase
Pro-tRNA	tRNA-synt_2b	deep	tRNA+synthetase
Trp-tRNA	tRNA-synt_1b	deep	tRNA+synthetase
Tyr-tRNA	tRNA-synt_1b	deep	tRNA+synthetase
Sacc_telomerase	EST1	shallow	RNP
Sacc_telomerase	EST1_DNA_bind	shallow	RNP
Sacc_telomerase	Telomerase_RBD	shallow	RNP
Sacc_telomerase	TPP1	shallow	RNP
Intron_gpII	COX1	shallow	RNP
Intron_gpII	LAGLIDADG_2	shallow	RNP
Intron_gpI-IC2	Cytochrome_B	shallow	RNP
Intron_gpI-IC2	LAGLIDADG_1	shallow	RNP
Intron_gpI-IC2	Ydc2-catalyt	shallow	RNP
U1_yeast	RRM_1	shallow	Spliceosome
U1_yeast	WW	shallow	Spliceosome
U1_yeast	LUC7	shallow	Spliceosome
U1_yeast	zf-U1	shallow	Spliceosome
U1_yeast	LSM	shallow	Spliceosome
Fungi_SRP	SRP54	shallow	RNP
Fungi_SRP	SRP54_N	shallow	RNP
Fungi_SRP	SRP_SPB	shallow	RNP
Fungi_SRP	SRP19	shallow	RNP
Fungi_SRP	SRP14	shallow	RNP
Fungi_SRP	SRP9-21	shallow	RNP
Fungi_SRP	SRP68	shallow	RNP
Fungi_SRP	SRP72	shallow	RNP
snR4	Nop	shallow	RNP
snR40	Nop	shallow	RNP
snR41	Nop	shallow	RNP
snR45	Nop	shallow	RNP
snR50	Nop	shallow	RNP
snR4	NOP5NT	shallow	RNP
snR40	NOP5NT	shallow	RNP
snR41	NOP5NT	shallow	RNP
snR45	NOP5NT	shallow	RNP
snR50	NOP5NT	shallow	RNP
snR3	Nop10p	shallow	RNP
snR5	Nop10p	shallow	RNP
snR8	Nop10p	shallow	RNP
snR9	Nop10p	shallow	RNP
snR10	Nop10p	shallow	RNP
snR3	SHQ1	shallow	RNP
snR5	SHQ1	shallow	RNP
snR8	SHQ1	shallow	RNP
snR9	SHQ1	shallow	RNP
snR10	SHQ1	shallow	RNP
snR3	TruB_N	shallow	RNP
snR5	TruB_N	shallow	RNP
snR8	TruB_N	shallow	RNP
snR9	TruB_N	shallow	RNP
snR10	TruB_N	shallow	RNP
srg1	2-Hacid_dh	shallow	Cis-regulatory
srg1	2-Hacid_dh_C	shallow	Cis-regulatory
