RNA	protein	phylogroup	type
5_8S_rRNA	Ribosomal_L7Ae	deep	Ribosome
5_8S_rRNA	Ribosomal_L19e	deep	Ribosome
5S_rRNA	Ribosomal_L5e	deep	Ribosome
5S_rRNA	Brix	deep	Ribosome
5S_rRNA	SART-1	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S2	deep	Ribosome
SSU_rRNA_eukarya	S4	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S5	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S6e	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S7e	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S8	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S8e	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S9	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S10	deep	Ribosome
SSU_rRNA_eukarya	S10_plectin	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S11	deep	Ribosome
SSU_rRNA_eukarya	Ribosom_S12_S23	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S13	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S14	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S15	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S17_N	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S17	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S17e	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S19	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S19e	deep	Ribosome
SSU_rRNA_eukarya	Ribosomal_S21e	deep	Ribosome
SSU_rRNA_eukarya	GTP_EFTU	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L1	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L3	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L4	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L5_C	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L6	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L10	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L13	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L14	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L16	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L22	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L23	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L26	deep	Ribosome
LSU_rRNA_eukarya	KOW	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L27A	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L29	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_L30	deep	Ribosome
LSU_rRNA_eukarya	Ribosomal_60s	deep	Ribosome
RNase_MRP	POP1	deep	RNP
RNase_MRP	POPLD	deep	RNP
RNase_MRP	RNase_P_pop3	deep	RNP
RNase_MRP	UPF0086	deep	RNP
RNase_MRP	RNase_P_Rpp14	deep	RNP
RNase_MRP	Rpp20	deep	RNP
RNase_MRP	RNase_P_p30	deep	RNP
RNase_MRP	Rpr2	deep	RNP
RNaseP_nuc	POP1	deep	RNP
RNaseP_nuc	Rpp20	deep	RNP
RNaseP_nuc	RNase_P_Rpp14	deep	RNP
U2	DUF382	deep	Spliceosome
U2	PSP	deep	Spliceosome
U2	RRM_1	deep	Spliceosome
U2	RRM_5	deep	Spliceosome
U2	LRR_9	deep	Spliceosome
U2	FHA	deep	Spliceosome
U2	zf-met	deep	Spliceosome
U2	SF3A2	deep	Spliceosome
U2	Surp	deep	Spliceosome
U2	SF3A3	deep	Spliceosome
U2	zf-C2H2_jaz	deep	Spliceosome
U2	PHF5	deep	Spliceosome
U2	MMS1_N	deep	Spliceosome
U2	CPSF_A	deep	Spliceosome
U2	LSM	deep	Spliceosome
U2	SF3b10	deep	Spliceosome
U4	LSM	deep	Spliceosome
U4	PRP3	deep	Spliceosome
U4	DUF1115	deep	Spliceosome
U4	Nop	deep	Spliceosome
U4	Prp31_C	deep	Spliceosome
U4	WD40	deep	Spliceosome
U5	LSM	deep	Spliceosome
U6	LSM	deep	Spliceosome
