protein.parental	protein.mutants	RNA.parental	RNA.mutants
1.41	1.654	1.081244817	0.6963819435
1.11	1.629	0.9609169409	1.458115685
1.07	1.595	0.9687563661	1.507627213
1.03	1.458	0.9147239231	0.8915549836
0.95	1.384	0.9558442361	1.160921431
0.82	1.335	0.9963590592	1.024178776
0.82	1.33	0.9949231946	1.475674602
0.80	1.259	1.127231463	0.992580604
	1.224		1.295729231
	1.154		1.368945193
	1.144		0.7904846768
	1.116		1.26645347
	1.078		1.153944524
	1.026		1.227151039
	1.026		1.538584403
	1.014		1.940024146
	0.979		0.7070495685
	0.946		1.265512532
	0.894		1.471774477
	0.866		0.7071190662
	0.843		0.226691595
	0.82		0.7589222532
	0.779		1.087146974
	0.729		0.6549178725
	0.671		1.083111614
	0.664		0.6576810535
	0.626		1.164700869
	0.46		0.934156637
	0.42		0.6979408623
	0.313		0.8247378017
	0.301		1.053709633
	0.3		0.8173720462
	0.292		0.9555764058
	0.285		1.280280416
	0.275		0.959615304
	0.221		0.6701102456
	0.204		1.034797939
	0.199		0.8519065824
	0.189		0.5382100846
	0.188		0.6779764648
	0.185		1.055328495
	0.175		0.9808847653
	0.171		1.124618336
	0.164		1.301024331
	0.163		0.7588923144
	0.161		0.6909374928
	0.159		0.8080588929
	0.152		0.7160223558
	0.146		1.3255599
	0.14		1.056575547
	0.138		1.072470447
	0.131		1.016555502
	0.129		0.2610483885
	0.128		0.6849872196
	0.127		0.4576006439
	0.125		1.152625023
	0.118		1.309773418
	0.113		0.8384952607
	0.112		0.9640933401
	0.112		1.281633552
	0.111		1.505376735
	0.11		1.160128692
	0.107		0.7885913352
	0.101		0.3998950575
	0.101		1.020297551
	0.1		0.6520462609
	0.099		0.8140395879
	0.098		1.266402741
	0.097		0.6080436502
	0.097		0.88397968
	0.095		1.219151052
	0.094		1.404563824
	0.092		1.028177929
	0.09		0.6325574556
	0.089		1.23053099
	0.089		0.8513561289
	0.088		1.208441604
	0.088		0.8453506292
	0.088		0.9589087548
	0.088		1.428797307
	0.086		1.478284999
	0.085		0.3791860111
	0.085		0.4012054535
	0.085		0.8275757959
	0.083		1.248827587
	0.079		0.7076016387
	0.075		0.8091354836
	0.074		1.520081584
	0.07		1.205600262
	0.067		0.7983496192
	0.065		1.463834154
	0.064		0.9645092588
	0.06		1.078212187
	1.32		1.030872588
	1.702		1.044894318
	1.654		1.07668052
